YEAR_MONTH,LOCATION,DA_LEGAL_REVIEW,YR,MN,Latitude,Longitude
2008-08,"ORVIS STREET, CHARLOTTE 28216",Legally Justified,2008,8,35.25269416,-80.84970104
2008-11,"N TRYON STREET, CHARLOTTE  28213",Legally Justified,2008,11,35.2580411,-80.78423803
2010-03,"E W.T. HARRIS BOULEVARD, CHARLOTTE 28227",No DA review,2010,3,35.19828546,-80.72635284
2010-07,"BARRINGTON DRIVE, CHARLOTTE 28278",Legally Justified,2010,7,35.23646184,-80.74322289
2010-07,"PARK ROAD, CHARLOTTE 28209",Legally Justified,2010,7,35.17335002,-80.85128405
2010-08,"SOMERDALE LANE, CHARLOTTE 28205",No DA review,2010,8,35.2274098,-80.75764471
2010-10,"BRANDIE GLEN ROAD, CHARLOTTE 28269",Legally Justified,2010,10,35.31415087,-80.82193276
2010-10,"HOLLYDAY COURT, CHARLOTTE 28210",Legally Justified,2010,10,35.16864494,-80.86274697
2010-11,"SNOW WHITE LANE, CHARLOTTE 28208",Legally Justified,2010,11,35.26984767,-80.77952075
2011-03,"GARIBALDI AVENUE, CHARLOTTE 28208",Legally Justified,2011,3,35.23393699,-80.88096425
2011-09,"CENTRAL AVENUE, CHARLOTTE 28210",Legally Justified,2011,9,35.21177776,-80.76147964
2012-03,"S TRYON STREET, CHARLOTTE 28203",Legally Justified,2012,3,35.21833752,-80.85396752
2012-07,"CRESTVIEW DRIVE, CHARLOTTE 28216",Legally Justified,2012,7,35.2502544,-80.86166921
2013-01,"COOPER DRIVE, CHARLOTTE 28208",Legally Justified,2013,1,35.16577551,-80.87237332
2013-06,"SNOW WHITE LANE, CHARLOTTE 28213",No DA review,2013,6,35.26891298,-80.78551508
2014-10,"BEATTIES FORD ROAD, CHARLOTTE 28205",No DA review,2014,10,35.26828028,-80.85391539
2014-12,"ROSECROFT DRIVE, CHARLOTTE 28215",Legally Justified,2014,12,35.23580079,-80.73472456
2015-02,"BELLEFONTE DRIVE, CHARLOTTE 28206",Legally Justified,2015,2,35.25080417,-80.81846836
2013-09,"N TRYON STREET, CHARLOTTE 28203",No DA review,2013,9,35.24092767,-80.82484006
2013-09,"REEDY CREEK ROAD, CHARLOTTE 28215",Not Legally Justified as determined by NC AG Office,2013,9,35.25357175,-80.6476807
2014-01,"BROOKSIDE DRIVE, FORT MILL 29715",Legally Justified,2014,1,35.293282,-80.75760265
2014-06,"W TRADE STREET, CHARLOTTE  28202",No DA review,2014,6,35.24221045,-80.85899641
2014-06,"N TRYON STREET, CHARLOTTE  28216",Legally Justified,2014,6,35.29263614,-80.75590274
2015-10,"WILKINSON BOULEVARD, CHARLOTTE 28208",No DA review,2015,10,35.22311819,-80.87099555
2016-01,"FORESTBROOK DRIVE, CHARLOTTE 28208",Legally Justified,2016,1,35.24193032,-80.91345445
2016-03,"HONEY HILL LANE, CHARLOTTE 28273",Legally Justified,2016,3,35.10858363,-80.97953115
2007-11,"ALBEMARLE ROAD, CHARLOTTE 28212",Legally Justified,2007,11,35.20338068,-80.75554264
2008-03,"SOUTH BOULEVARD, CHARLOTTE 28217",Legally Justified,2008,3,35.16290541,-80.87615927
2010-12,"SHAMROCK DRIVE, CHARLOTTE 28205",No DA review,2010,12,35.22658122,-80.74730829
2011-10,"NATIONS FORD ROAD, CHARLOTTE 28273",No DA review,2011,10,35.16610659,-80.89363572
2012-06,"WEST AVENUE, CHARLOTTE 28208",Legally Justified,2012,6,35.27927888,-80.91182565
2012-09,"TAKERIDGE COURT, CHARLOTTE 28277",Legally Justified,2012,9,35.06812378,-80.78621604
2013-07,"PENNINGER CIRCLE, CHARLOTTE 28262",Legally Justified,2013,7,35.31140863,-80.78575033
2014-03,"JORDANS POND LANE, CHARLOTTE 28214",No DA review,2014,3,35.29419162,-80.92906995
2014-09,"FARM POND LANE, CHARLOTTE 28273",Legally Justified,2014,9,35.20482118,-80.73857826
2015-01,"E MARTIN LUTHER KING BOULEVARD, CHARLOTTE 28202",Legally Justified,2015,1,35.22221159,-80.84341268
2015-03,"N TRYON STREET, CHARLOTTE 28206",Legally Justified,2015,3,35.23800028,-80.82852266
2016-01,"WATSON DRIVE, CHARLOTTE 28208",Legally Justified,2016,1,35.21881048,-80.8854172
2016-04,"TUCKASEEGEE ROAD, CHARLOTTE 28214",Legally Justified,2016,4,35.24519806,-80.93521553
2016-06,"N TRYON STREET, CHARLOTTE 28213",Legally Justified,2016,6,35.28941742,-80.75841409
2016-08,"BUFFALO SHOALS ROAD, NEWTON 28658",Legally Justified,2016,8,,
2016-09,"OLD CONCORD ROAD, CHARLOTTE 28213",Legally Justified,2016,9,35.29289031,-80.72753851
2016-08,"ALBEMARLE ROAD, CHARLOTTE 28212",Legally Justified,2016,8,35.20308325,-80.74228437
2016-06,"PINEBURR ROAD, CHARLOTTE 28211",Legally Justified,2016,6,35.15637558,-80.75600938
2016-10,"E WOODLAWN ROAD, CHARLOTTE 28205",Legally Justified,2016,10,35.17897814,-80.88349484
2016-10,"WILKINSON BOULEVARD, CHARLOTTE 28208",Legally Justified,2016,10,35.22440688,-80.89291138
2017-01,"ALBEMARLE ROAD, CHARLOTTE 28205",Legally Justified,2017,1,35.20301824,-80.74050178
2005-03,"WILKINSON BOULEVARD, CHARLOTTE 28208",No DA review,2005,3,35.22449626,-80.89650368
2005-03,"KEYWAY BOULEVARD, CHARLOTTE 28205",Legally Justified,2005,3,35.22699116,-80.72929894
2005-04,"LEAFCREST LANE, CHARLOTTE 28216",No DA review,2005,4,35.14436326,-80.86177397
2005-05,"AMITY SPRINGS DRIVE, CHARLOTTE 28212",Legally Justified,2005,5,35.19902512,-80.75628578
2005-08,"BETHEL ROAD, CHARLOTTE 28208",No DA review,2005,8,35.2193387,-80.87636738
2005-09,"N SHARON AMITY ROAD, CHARLOTTE 28205",No DA review,2005,9,35.20542311,-80.75909558
2006-01,"SNOW LANE, CHARLOTTE 28227",No DA review,2006,1,35.19675873,-80.7264611
2006-04,"NORCROFT DRIVE, CHARLOTTE ",Legally Justified,2006,4,35.32849319,-80.78333879
2006-06,"SUNSET ROAD, CHARLOTTE 28269",Legally Justified,2006,6,35.30763561,-80.84567324
2006-07,"ALBEMARLE ROAD, CHARLOTTE 28212",Legally Justified,2006,7,35.20315374,-80.74406708
2006-07,"ESTHER LANE, CHARLOTTE ",Legally Justified,2006,7,35.26688927,-80.92160063
2006-11,"DALECREST , CHARLOTTE 28269",Legally Justified,2006,11,35.28018368,-80.81630963
2007-04,"E INDEPENDENCE BOULEVARD, CHARLOTTE 28205",Legally Justified,2007,4,35.19655042,-80.76807381
2007-10,"FLORENCE AVENUE, CHARLOTTE  28212",Legally Justified,2007,10,35.18311887,-80.7647899
2008-02,"LANGSTON MILL ROAD, CHARLOTTE ",Legally Justified,2008,2,35.32594147,-80.8614263
2008-04,"STATESVILLE ROAD, CHARLOTTE 28269",Legally Justified,2008,4,35.28888323,-80.8365905
2008-05,"CENTRAL AVENUE, CHARLOTTE  28205",Legally Justified,2008,5,35.22005258,-80.80802326
2008-05,"SYLVANIA AVENUE, CHARLOTTE 28206",Legally Justified,2008,5,35.24248825,-80.82959488
2008-08,"DEANNA LANE, CHARLOTTE  ",Legally Justified,2008,8,35.14030372,-80.89416392
2018-01,"E TRADE STREET, CHARLOTTE 28202",Legally Justified,2018,1,35.222887,-80.83692
2018-12,"WINFIELD DRIVE, CHARLOTTE 28205",Legally Justified,2018,12,35.202102,-80.774458
2019-08,"ERNEST RUSSELL COURT, CHARLOTTE 28269",Pending Review,2019,8,35.355866,-80.768967
2017-09,"PROSPECT DRIVE, CHARLOTTE 28213",Legally Justified,2017,9,35.279472,-80.787744
2018-05,"IDLEBROOK DRIVE, CHARLOTTE 28212",Legally Justified,2018,5,35.191562,-80.734968
2019-01,"WEST BOULEVARD, CHARLOTTE 28208",Legally Justified,2019,1,35.216509,-80.882177
2016-01,"SHARVIEW COURT, CHARLOTTE 28217",No DA review,2016,1,35.16094357,-80.89638705
2017-09,"HOLLY STREET, CHARLOTTE 28216",Legally Justified,2017,9,35.2673453,-80.8484074
2017-12,"N WENDOVER ROAD, CHARLOTTE 28205",Legally Justified,2017,12,35.1967479,-80.7911352
2018-02,"TIMBERBROOK DRIVE, CHARLOTTE 28208",Legally Justified,2018,2,35.245948,-80.91034
2015-12,"NORTHLAKE MALL DRIVE, CHARLOTTE 28269",Legally Justified,2015,12,35.3499809,-80.8527021
2019-03,"BEATTIES FORD ROAD, CHARLOTTE 28214",Pending Review,2019,3,35.269833,-80.854107
2017-03,"JUSTICE AVENUE, CHARLOTTE 28206",Legally Justified,2017,3,35.2604238,-80.83277888
2018-07,"WILKINSON BOULEVARD, CHARLOTTE 28208",Legally Justified,2018,7,35.234388,-80.936614
