Rooms,Price,Bedroom2,Bathroom,Car
2,,2,1,1
2,1480000,2,1,1
2,1035000,2,1,0
3,,3,2,1
4,1600000,3,1,2
4,,3,2,2
2,,4,1,2
2,,3,2,1
2,941000,2,1,0
3,1876000,4,2,0
2,,2,2,1
4,,6,2,0
2,1636000,2,1,2
3,1000000,,,
2,745000,,,
1,300000,1,1,1
2,1097000,3,1,2
2,542000,,,
2,,2,1,1
2,760000,,,
1,481000,,,
2,700000,2,2,1
3,1350000,3,2,2
2,750000,2,2,1
4,1985000,,,
1,500000,,,
3,840000,3,2,1
3,730000,3,2,1
2,420000,,,
3,500000,,,
5,1035000,,,
4,960000,,,
4,960000,,,
3,720000,2,1,1
4,785000,3,1,2
6,725000,6,3,2
2,450000,2,1,1
2,515000,2,1,1
3,680000,,,
2,530000,2,1,1
3,895000,3,1,6
3,600000,,,
3,805000,3,1,1
3,760000,,,
3,580000,,,
3,725000,,,
2,1275000,2,1,0
2,1455000,2,1,0
3,,2,2,1
2,1110000,1,1,0
2,1550000,2,1,1
4,2300000,4,2,1
3,,3,1,2
3,1550000,3,2,2
3,1800000,3,2,1
3,2485000,,,
2,2120000,2,1,1
3,1800000,3,1,1
3,1800000,3,2,1
3,,3,1,0
2,1810000,2,1,0
3,2615000,3,2,1
5,2100000,5,2,1
3,1300000,3,1,0
3,1370000,3,2,2
2,1000000,2,1,0
3,,3,2,1
4,2000000,3,2,4
3,1110000,3,2,2
2,480000,,,
3,,3,1,3
3,1304000,,,
4,1717500,4,2,1
5,2840000,5,4,4
5,,5,3,4
2,525500,2,1,1
2,805000,2,2,3
2,465000,2,1,1
3,520000,3,2,1
5,1525000,5,3,3
2,720000,2,1,2
4,780000,4,1,4
4,1780000,4,3,6
3,630000,2,1,2
2,406000,2,1,1
3,660000,3,1,1
3,683500,3,1,1
2,540000,,,
2,580000,2,1,1
3,1335000,3,1,4
3,800000,3,2,2
2,510000,2,1,1
4,1070000,4,2,2
2,425000,2,1,2
3,605000,3,2,2
3,743000,3,2,2
3,650000,,,
3,,3,1,1
5,1085000,5,3,6
3,781000,3,1,2
4,857500,,,
3,683000,3,1,2
3,,,,
3,623000,3,1,3
3,720000,3,2,1
4,780000,,,
3,720000,,,
3,705000,,,
3,588000,3,1,1
4,720000,,,
3,710000,3,1,3
2,550000,,,
3,640000,,,
3,537500,,,
4,,,,
4,875000,3,1,4
3,800000,,,
3,713500,,,
4,,4,2,5
3,700000,3,1,3
2,551000,,,
3,685000,,,
4,650000,4,1,4
3,925000,,,
3,,2,1,1
2,599000,2,1,1
2,550000,2,1,0
3,995000,3,2,2
3,1205000,3,2,2
3,,3,2,2
3,2675000,,,
3,1939000,3,2,2
1,421500,1,1,0
2,585000,,,
4,,,,
2,,2,1,1
2,700000,2,1,2
2,3625000,3,2,2
4,3000000,4,2,2
2,1930000,,,
5,1525000,8,2,2
4,,4,1,2
3,735000,3,2,1
2,825000,2,1,1
3,1586000,2,2,2
4,,4,2,2
3,,2,2,1
2,,2,1,1
5,,,,
2,645000,3,1,1
1,1435000,2,2,1
4,,3,4,2
1,280000,1,1,1
1,400000,1,1,1
4,,4,2,2
2,1780000,2,2,2
3,,3,2,0
2,592500,2,1,1
3,,3,2,1
2,1210000,2,1,0
4,2801000,4,2,2
3,,3,1,2
2,455000,3,1,2
3,940000,3,1,2
2,467000,2,1,1
3,,3,1,2
3,895000,,,
3,971000,3,2,2
2,710000,2,1,1
6,2425000,6,3,2
2,750000,2,1,1
2,840000,,,
2,1053000,2,1,1
3,1377000,3,1,1
3,970000,3,1,2
2,940000,2,1,1
2,751000,2,1,1
2,950000,2,1,1
3,,3,2,2
2,685000,2,1,2
4,,3,1,2
3,1230000,4,1,2
2,636500,2,1,1
3,910000,3,1,0
2,872500,,,
2,770000,2,1,1
2,490000,,,
3,960000,3,2,2
4,890000,4,1,1
2,965000,2,1,1
4,,4,1,2
2,450000,2,1,1
3,801000,3,1,2
4,,4,2,3
3,770000,,,
3,1000000,3,2,2
3,1435000,3,2,2
1,390000,1,1,1
4,2650000,4,3,2
2,1820000,,,
3,1670000,3,2,2
3,955000,3,2,2
3,2050000,3,3,4
3,,3,1,1
3,1425000,,,
3,1555000,3,2,2
2,1417000,,,
4,,,,
5,1850000,,,
2,,,,
3,780000,,,
4,1942000,,,
3,1100000,3,3,2
3,1337000,3,1,2
8,2950000,9,7,4
4,2215000,4,2,1
4,1880000,,,
3,1518000,3,2,2
3,1710000,3,1,2
3,,3,1,2
3,,3,1,2
3,1655000,3,1,3
3,1340000,,,
3,1445000,,,
3,1500000,,,
4,,4,2,2
4,1550000,4,2,2
3,1465000,3,2,0
3,850000,3,2,1
3,770000,3,2,1
3,,3,1,1
2,603000,2,1,1
3,700000,3,2,2
3,600000,2,1,1
2,500000,2,1,1
3,752000,3,1,1
3,2850000,3,2,0
3,1850000,3,2,0
2,,2,1,0
2,1436000,2,1,0
3,1492000,3,2,2
3,1120000,3,1,2
3,705000,3,2,2
2,391000,2,1,1
2,440000,2,1,1
4,845000,4,1,2
3,766000,,,
4,960000,,,
3,750000,3,1,3
2,421000,2,1,1
3,1405000,3,1,3
2,,,,
2,640000,2,1,1
3,2050000,,,
3,1870000,3,1,1
4,,4,2,1
2,678000,2,1,2
2,,2,1,1
3,,,,
3,1918000,3,2,2
1,,1,1,0
2,660000,2,1,1
3,2050000,3,2,1
3,1380000,3,2,2
2,490000,2,1,1
4,1850000,4,3,1
3,1284000,3,1,2
4,1200000,,,
3,1440000,3,1,1
2,955000,2,1,0
2,500000,2,1,1
2,1575000,2,1,2
4,1991000,,,
2,1172500,2,1,1
1,441000,1,1,1
2,1310000,2,1,2
3,,3,2,2
3,1200000,3,2,1
2,847000,,,
2,,,,
3,1176500,2,1,1
3,955000,3,1,0
2,890000,2,1,1
2,500000,2,1,1
2,1100000,2,2,1
2,1315000,2,1,0
1,480000,,,
1,423500,,,
4,,,,
1,426000,1,1,1
3,1447500,3,3,1
1,457000,1,1,1
2,1135000,2,2,2
2,700000,,,
4,1542000,4,3,1
1,470000,1,1,1
2,1180000,2,1,0
3,1195000,3,2,1
2,,,,
2,1012500,2,1,0
2,970000,,,
2,1030000,2,1,1
4,,,,
3,927000,,,
4,758000,,,
2,440000,2,1,1
3,970000,,,
5,755000,3,2,2
4,985000,,,
3,700000,3,2,2
2,509500,,,
3,830000,3,1,2
2,462500,2,1,1
3,670000,3,2,2
2,675000,2,1,1
3,1042000,3,2,5
3,910000,3,1,1
4,773000,5,3,4
3,715000,,,
2,460000,,,
3,540000,2,2,1
3,825000,3,2,1
3,685000,3,1,1
3,445000,,,
3,805000,3,1,1
2,510000,2,1,1
3,612000,3,2,1
3,662000,3,1,2
4,978000,4,3,2
2,474000,,,
2,490000,,,
3,405000,,,
3,715000,,,
3,671500,,,
4,765000,4,1,2
4,900000,4,2,3
3,820000,,,
3,650000,,,
3,552000,,,
3,1425000,3,2,2
3,925000,,,
4,1340000,3,2,2
3,955000,3,1,1
2,1075000,,,
4,1100000,4,2,5
3,1255000,3,2,2
4,1483000,,,
2,432000,2,1,1
4,1640000,4,3,2
6,1430000,4,2,1
2,610000,2,1,1
3,940000,3,3,1
3,890000,3,1,1
4,1505000,,,
3,1180000,3,2,2
4,1480000,4,2,2
2,705000,2,2,1
2,442000,2,1,1
2,540000,2,2,1
3,1037500,3,1,2
3,1050000,3,2,2
6,,6,2,3
2,440000,2,1,1
2,1010000,2,1,1
4,1430000,4,2,0
2,570000,2,1,1
2,690000,2,1,1
4,,4,3,4
4,1070000,,,
3,1291000,3,1,2
3,,3,2,2
3,1130000,3,2,1
3,1135000,3,1,1
4,950000,4,2,1
3,790000,3,2,1
3,940000,3,2,2
3,995000,3,2,1
3,1050000,3,1,3
3,786000,3,2,1
2,705000,2,1,3
3,660000,,,
2,760000,2,1,1
3,487500,3,1,3
3,1125000,,,
3,1000000,3,2,2
4,1110000,4,2,1
4,1300000,4,1,4
3,1060000,3,1,1
3,1410000,3,2,2
3,1305000,2,1,1
3,932500,3,2,1
3,965000,3,1,0
3,1215000,3,1,1
2,545000,2,1,2
4,1800000,,,
3,840000,,,
4,1705000,4,2,4
3,970000,2,1,1
2,925000,2,1,1
4,1330000,4,2,2
3,,3,2,1
3,900000,3,2,2
3,1090000,3,2,2
3,962000,,,
3,1290000,3,2,2
3,1290000,3,1,1
3,810000,3,3,2
3,715000,3,2,2
3,790000,3,1,3
3,,,,
3,720000,3,1,1
2,1150000,2,1,1
3,1350000,3,1,3
5,1905000,5,2,2
2,865000,2,2,1
3,,3,1,1
2,390000,2,1,1
4,1345000,4,1,1
1,296000,,,
3,1381500,3,2,2
2,,2,1,2
3,2575000,3,2,1
2,1322500,2,1,0
2,,2,1,1
2,1562500,2,1,0
3,2000000,3,2,1
4,,3,1,0
3,,3,1,2
3,1900000,3,1,0
3,3010000,3,2,0
3,,3,1,0
4,2800000,4,3,1
3,,3,1,0
2,647000,2,1,1
3,,3,2,1
3,2100000,2,1,1
3,,3,2,1
2,,2,2,1
7,,7,7,0
3,2000000,3,1,1
1,442500,1,1,0
4,4735000,4,2,1
2,1340000,2,1,0
3,1801000,3,1,1
3,1532000,3,3,1
3,3755000,3,2,2
4,2140000,3,2,1
2,1810000,,,
2,1750000,2,1,1
2,980000,2,1,0
2,,2,1,0
4,,4,2,0
3,,3,2,1
3,2030000,3,2,0
3,1740000,3,2,2
3,2800000,3,3,1
1,985000,1,1,0
4,,,,
3,1480000,,,
3,2000000,3,3,2
3,1540000,3,1,2
4,,,,
2,590000,,,
2,820000,2,1,1
4,1830000,4,2,2
4,2100000,4,2,2
3,865000,3,1,1
2,390000,2,1,1
2,650000,0,1,0
2,512000,2,1,1
3,1361000,,,
4,,4,2,2
3,1310000,,,
3,570000,,,
3,1165000,3,1,2
2,530000,,,
4,1900000,4,2,2
5,,5,2,2
3,1485000,3,0,0
4,1950000,4,2,3
3,730000,3,2,1
3,916500,,,
3,635000,3,1,4
2,620000,2,1,1
2,447000,2,1,1
3,730000,3,2,1
3,678000,3,1,2
2,580000,2,2,1
3,712000,3,1,2
3,840000,3,2,2
3,980000,3,1,2
4,1000000,,,
3,605100,3,2,0
3,880000,3,3,1
3,577000,3,2,1
4,,4,2,3
4,1030000,4,1,0
3,605000,3,1,2
3,685000,,,
2,,2,1,1
3,753000,3,2,2
2,857000,2,2,1
3,1500000,3,1,1
3,730000,3,2,1
3,900000,3,1,4
3,740000,3,1,2
4,931000,4,2,3
2,535600,2,1,1
3,,,,
2,,,,
3,670000,,,
3,680000,,,
3,765000,,,
3,675000,3,2,2
3,708000,3,1,2
3,656000,,,
4,883000,,,
4,965000,4,1,4
3,870000,,,
3,681000,,,
2,522500,,,
5,972000,,,
3,590000,,,
2,450000,,,
3,765000,,,
3,750000,,,
3,680000,3,1,3
1,,1,1,1
2,510000,,,
3,770000,3,1,3
3,923000,3,1,2
4,693000,4,2,4
3,620000,5,2,2
3,800000,,,
3,728500,3,1,1
3,931000,3,2,1
3,988000,3,1,4
3,590000,,,
3,590000,3,1,2
2,610000,2,1,2
2,,,,
3,815000,3,2,3
4,970000,4,1,2
4,840000,,,
3,840000,,,
4,760000,4,1,3
3,852500,,,
4,847500,4,3,1
4,1200000,4,1,4
3,630000,,,
3,,,,
3,700000,3,1,1
3,625000,3,1,1
2,292000,2,1,1
3,640000,,,
3,800000,,,
3,,3,2,3
3,,2,2,2
3,,3,2,1
1,390000,1,1,0
3,,3,2,1
3,1800000,3,2,2
4,,,,
4,2200000,4,1,2
4,,,,
1,324000,1,1,1
3,,3,1,2
2,,2,1,1
2,,,,
3,,3,1,4
2,,3,1,2
6,5525000,5,3,4
4,,2,2,2
2,1125000,3,1,2
3,2250000,3,3,1
3,2360000,3,2,0
2,1900000,2,2,0
1,440000,1,1,1
2,,,,
2,,2,1,1
2,490000,2,1,1
3,,3,2,2
3,2365000,3,2,1
3,1300000,2,1,2
2,,2,1,1
3,732000,3,2,2
2,704000,2,1,1
4,,,,
2,,,,
2,620000,3,1,1
3,1900000,3,1,2
3,,3,2,2
3,,2,3,2
2,,2,2,1
1,315000,1,1,1
3,,2,1,0
3,1992000,,,
1,450000,1,1,1
2,710000,2,1,1
2,872000,2,1,1
2,598000,2,1,1
3,,3,2,2
3,1285000,3,1,2
4,3660000,4,3,2
3,,3,1,2
2,,2,1,1
2,520000,1,1,1
4,2760000,,,
4,,,,
2,690000,,,
4,3625000,4,1,2
4,4200000,4,3,3
3,1101000,3,1,2
3,3512500,3,2,2
2,,2,1,1
2,,2,1,2
4,2000000,4,3,4
3,,3,3,1
3,869000,2,1,1
2,577000,,,
3,,3,2,1
2,,2,1,4
3,2865000,,,
5,2810000,5,2,2
2,565000,3,1,1
1,567000,1,1,1
2,546000,2,0,0
2,,3,1,1
2,471500,2,1,1
